"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5VEJvUdOjNUQnYmZGUjnQZ","Come At Me Bro - Original Mix","spotify:artist:6XPfY4QyCgpGvRcvHt4b7W, spotify:artist:1JKstj1A51akNfRp76apBf, spotify:artist:1tW6Sv2sX7ueYDdcofkoH5","Sinister Souls, Gein, Bratkilla","spotify:album:3N6nysye6rhwRgI7KBAJVq","Horns Up","spotify:artist:6XPfY4QyCgpGvRcvHt4b7W","Sinister Souls","2014-08-25","https://i.scdn.co/image/ab67616d0000b273ba839e840ffe5ed4dd6f64d1","1","3","407285","https://p.scdn.co/mp3-preview/56eac5dee067552d2d3293f0b56b8b1ac74e93e6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","NLCK41402123","spotify:user:11126428529","2018-12-07T18:02:31Z"
"spotify:track:2zUTNBQxEuqCaheVuwu1zF","Hearing Damage","spotify:artist:4eujb0S8BP4Oy9suTA04mE","Gydra","spotify:album:2uDiuTkCWYQL68I3vLDNPE","Alarm / Hearing Damage","spotify:artist:4eujb0S8BP4Oy9suTA04mE","Gydra","2018-02-05","https://i.scdn.co/image/ab67616d0000b2737718473491c01715070793b5","1","2","252104","https://p.scdn.co/mp3-preview/3423a3e7c57eb842e508e7466315da673793b739?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB8KE1758969","spotify:user:11126428529","2018-12-07T19:45:16Z"
"spotify:track:7LjpifYKBuYGzJnNMH3AjP","Noise Of The Machine","spotify:artist:4eujb0S8BP4Oy9suTA04mE","Gydra","spotify:album:6pYwxvrzouiwws6FpKJINl","Unhinged","spotify:artist:4eujb0S8BP4Oy9suTA04mE","Gydra","2017-03-06","https://i.scdn.co/image/ab67616d0000b2736da48030e98401256325d969","1","2","300689","https://p.scdn.co/mp3-preview/a4aec08f72b5cf59b7e58d322e19f9de1185e674?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB8KE1652098","spotify:user:11126428529","2018-12-08T10:28:01Z"
"spotify:track:1QXLovacCins3U6nZEtIFR","Alarm","spotify:artist:4eujb0S8BP4Oy9suTA04mE","Gydra","spotify:album:2uDiuTkCWYQL68I3vLDNPE","Alarm / Hearing Damage","spotify:artist:4eujb0S8BP4Oy9suTA04mE","Gydra","2018-02-05","https://i.scdn.co/image/ab67616d0000b2737718473491c01715070793b5","1","1","311723","https://p.scdn.co/mp3-preview/15266cb692af0088fc2e2292d52a512bce90c987?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB8KE1758968","spotify:user:11126428529","2018-12-08T10:45:32Z"
"spotify:track:1MXQ9ZYoRxL3b8OBh4mfI3","Problem - Original Mix","spotify:artist:4eujb0S8BP4Oy9suTA04mE","Gydra","spotify:album:6f8gWnrEUQWs6bpamms7zq","Killparty EP","spotify:artist:4eujb0S8BP4Oy9suTA04mE","Gydra","2017-11-13","https://i.scdn.co/image/ab67616d0000b273c536d9f68dc872917e8d7dc6","1","2","283515","https://p.scdn.co/mp3-preview/69fd69452f0ac0ed0241c73696aa23aa96d34157?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","NLCK41043794","spotify:user:11126428529","2018-12-08T10:48:41Z"
"spotify:track:5LfDWM2eGcv1m35HsSGVnD","Primitive Instinct - Original Mix","spotify:artist:4eujb0S8BP4Oy9suTA04mE","Gydra","spotify:album:6f8gWnrEUQWs6bpamms7zq","Killparty EP","spotify:artist:4eujb0S8BP4Oy9suTA04mE","Gydra","2017-11-13","https://i.scdn.co/image/ab67616d0000b273c536d9f68dc872917e8d7dc6","1","4","297931","https://p.scdn.co/mp3-preview/a1fd272c9c66fed6b60b00807bb65051d1d85ef0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","NLCK41043796","spotify:user:11126428529","2018-12-08T13:16:11Z"
"spotify:track:3h4YGKmdLx2RfFxTIfYkht","Ikra - Original Mix","spotify:artist:4eujb0S8BP4Oy9suTA04mE","Gydra","spotify:album:6f8gWnrEUQWs6bpamms7zq","Killparty EP","spotify:artist:4eujb0S8BP4Oy9suTA04mE","Gydra","2017-11-13","https://i.scdn.co/image/ab67616d0000b273c536d9f68dc872917e8d7dc6","1","1","295775","https://p.scdn.co/mp3-preview/84245f89e638c183c29047375ea12ec10f152dd8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","NLCK41043793","spotify:user:11126428529","2018-12-08T13:17:17Z"
"spotify:track:5u50tqVeQM77Y4qugyWuUJ","Revenge","spotify:artist:7yRkgZyRXaO7oh1hTEyKNo","Smooth","spotify:album:3yyuU1IcYOB5mZL6nmsm1v","WTF / Revenge","spotify:artist:7yRkgZyRXaO7oh1hTEyKNo","Smooth","2015-12-04","https://i.scdn.co/image/ab67616d0000b27322017addb5dbf87edadd378f","1","2","237252","https://p.scdn.co/mp3-preview/89c50bfece62554eeddd957f03b5f38ba3aa14c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBTMZ1500400","spotify:user:11126428529","2018-12-08T13:17:32Z"
"spotify:track:4OyTFWc9kB4x62AoAIaj5P","Electric","spotify:artist:7F6nxkPQrlh4qWDetjgnpX","The Prototypes","spotify:album:71nWlJxsMNOS1sC48ngRgi","Electric","spotify:artist:7F6nxkPQrlh4qWDetjgnpX","The Prototypes","2017-01-27","https://i.scdn.co/image/ab67616d0000b273fa66984fb60a1806fc878a47","1","1","259145","https://p.scdn.co/mp3-preview/b9ab7e09a6eb9efe09032c1ca046b1662e6cb28b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","NLCK41036678","spotify:user:11126428529","2018-12-08T13:18:01Z"
"spotify:track:7M1TVs5VETqYRoPqlzY8Qm","No Advance","spotify:artist:3PAXvY08KxX5HmCsmKw4x8","Black Sun Empire","spotify:album:3jRXhK0kOWY92s8IdOxe2M","The Wrong Room","spotify:artist:3PAXvY08KxX5HmCsmKw4x8","Black Sun Empire","2017-03-31","https://i.scdn.co/image/ab67616d0000b273ba4225c379429a7c2041756c","1","12","276108","https://p.scdn.co/mp3-preview/8ef618ac2bd7549f6cca7ae8c877a59724c279ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USQY51712541","spotify:user:11126428529","2018-12-08T13:20:00Z"
